color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
2,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,60.643597361000005,None,j,3.2949101060000032,60.74364489700001,None,60.14401646200001,60.560462864,64.07208887400002,64.56185359000001,64.07208887400002,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
0,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,65.145465716,None,d,1.0105143080000119,65.24406247700001,None,64.661889574,65.06066743200002,66.26694273100001,66.55469505200001,66.26694273100001,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
1,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,66.89942046400002,None,f,0.898399349000016,66.956084547,None,66.613357341,66.85326855200002,67.879499542,68.37976203200002,67.879499542,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
3,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,68.96322646400002,None,k,0.8558562700000039,69.046644772,None,68.47969175500002,68.879864036,69.92868944000001,70.412302142,69.92868944000001,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
2,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,70.79675573600001,None,d,0.7997506439999995,70.85475234600001,None,70.51196308200001,70.748388125,71.671561772,72.163778311,71.671561772,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
1,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,72.74801481300001,None,f,0.8064990680000221,72.848053788,None,72.262351455,72.66473092600002,73.681222151,74.181484317,73.681222151,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
3,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,74.781618083,None,k,0.6848442190000128,74.881727513,None,74.281613966,74.698393126,75.59825350000001,76.09841612200002,75.59825350000001,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
1,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,76.69853575700002,None,f,0.863994837000007,76.798562101,None,76.198467221,76.615180107,77.68270102000001,78.18304821100001,77.68270102000001,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
3,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,78.783098616,None,k,0.7794902450000052,78.88305338300002,None,78.28291547900001,78.69967135700001,79.683114025,80.183387575,79.683114025,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
0,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,80.78333258100001,None,d,0.7391759850000028,80.883377848,None,80.28321663300001,80.700089608,81.650070466,82.150172832,81.650070466,None,,,,,,18,001,exponential,gyrb,0.35-0.75,2021_May_21_1009,color_judgement_and_subjective_perception,2020.2.10,59.96174656431533,
