color_idx_ind,target_acc,mode,response_deadline,block_number,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training_deadline.thisRepN,trials_training_deadline.thisTrialN,trials_training_deadline.thisN,trials_training_deadline.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials_staircase.thisRepN,trials_staircase.thisTrialN,trials_staircase.thisN,trials_staircase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_ind.started,stimulus_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,fixation_cross_1_ind.started,fixation_cross_1_ind.stopped,text.started,text.stopped,dummy_text.started,dummy_text.stopped,stim_ind_color_rgb_r,stim_ind_color_rgb_g,stim_ind_color_rgb_b,text_break_block.started,text_break_block.stopped,participant,session,accuracy_weighting,color_mapping,block_difficulties,date,expName,psychopyVersion,frameRate,
2,0.9,training,1000000000000,,0,0,0,0,,,,,,,,,,,,,,,,,60.763972049000586,None,j,3.39733890000025,60.8639353260005,None,60.267160257000796,60.68062691200066,64.28309377200094,64.7812138549998,64.28309377200094,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
0,0.9,training,1000000000000,,0,1,1,1,,,,,,,,,,,,,,,,,65.36562894800045,None,d,0.8756885519997013,65.46558135800115,None,64.88108718799958,65.28225209899938,66.36534365700027,66.86572211900057,66.36534365700027,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
3,0.9,training,1000000000000,,0,2,2,2,,,,,,,,,,,,,,,,,67.46590417200059,None,k,1.0393629919999512,67.56591427700005,None,66.96572683900013,67.38268156400045,68.6325885540009,69.1328130260008,68.6325885540009,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
0,0.9,training,1000000000000,,0,3,3,3,,,,,,,,,,,,,,,,,69.73284516500098,None,d,0.8124466400004167,69.83292133199939,None,69.23267486700024,69.64952690000064,70.66689672400025,71.16718308599957,70.66689672400025,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
3,0.9,training,1000000000000,,0,4,4,4,,,,,,,,,,,,,,,,,71.76721421299953,None,k,0.7139229130007152,71.86728021800081,None,71.26700675699976,71.68393327800004,72.60079481499997,73.10102747200108,72.60079481499997,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
2,0.9,training,1000000000000,,0,5,5,5,,,,,,,,,,,,,,,,,73.70110204500088,None,j,0.6361822389990266,73.80107862099976,None,73.20092525899963,73.61759895500109,74.4675578690003,74.96801927300112,74.4675578690003,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
0,0.9,training,1000000000000,,0,6,6,6,,,,,,,,,,,,,,,,,75.55213999900116,None,d,0.8651475469996512,75.65215797400015,None,75.0678080180005,75.46873482000046,76.53571891499996,77.03552047899939,76.53571891499996,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
3,0.9,training,1000000000000,,0,7,7,7,,,,,,,,,,,,,,,,,77.63585650599998,None,k,0.7894300070001918,77.73585378200005,None,77.1356935140011,77.55247478800084,78.55241322099937,79.05250137700023,78.55241322099937,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
0,0.9,training,1000000000000,,0,8,8,8,,,,,,,,,,,,,,,,,79.65271537199988,None,d,0.8044836339995527,79.75277064200054,None,79.15252837400112,79.56932374600001,80.58681403099945,81.08711093000056,80.58681403099945,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
2,0.9,training,1000000000000,,0,9,9,9,,,,,,,,,,,,,,,,,81.68720553999992,None,j,0.9621781470013957,81.787096045,None,81.18701298499946,81.60386418000053,82.77062992500032,83.27069483699961,82.77062992500032,None,,,,,,3,001,exponential,rgby,0.75-0.35,2021_May_17_1432,color_judgement_and_subjective_perception,2020.2.10,59.9628223303483,
